latitude,longitude,floorSize,url,price,date
30.381157,-97.707316,"1,161",https://www.zillow.com/homedetails/10402-Leaning-Willow-Dr-Austin-TX-78758/29433551_zpid/,"$280,000",1605679200.0
30.289767,-97.761998,"2,178",https://www.zillow.com/homedetails/1901-Winsted-Ln-A-Austin-TX-78703/2077731931_zpid/,"$795,000",1605679200.0
30.447478,-97.775209,"1,769",https://www.zillow.com/homedetails/12413-Turtle-Rock-Rd-A-B-Austin-TX-78729/2077305935_zpid/,"$425,850",1605679200.0
30.175876,-97.831391,938,https://www.zillow.com/homedetails/2503-W-Slaughter-Ln-Austin-TX-78748/29509754_zpid/,"$535,000",1605592800.0
30.236162,-97.769983,"1,480",https://www.zillow.com/homedetails/3203-Locke-Ln-UNIT-A-Austin-TX-78704/251029678_zpid/,"$595,000",1605592800.0
30.441983,-97.759608,"1,758",https://www.zillow.com/homedetails/12613-Dringenberg-Dr-Austin-TX-78729/29573705_zpid/,"$412,000",1605592800.0
30.326407,-97.738801,"1,706",https://www.zillow.com/homedetails/5309-William-Holland-Ave-11-Austin-TX-78756/125901867_zpid/,"$529,900",1605592800.0
30.202521,-97.857647,"2,046",https://www.zillow.com/homedetails/8804-Barrow-Glen-Loop-Austin-TX-78749/29499478_zpid/,"$434,900",1605592800.0
30.186937,-97.828783,"1,380",https://www.zillow.com/homedetails/9005-Wagtail-Dr-Austin-TX-78748/29504072_zpid/,"$400,000",1605506400.0
30.179885,-97.794374,"1,546",https://www.zillow.com/homedetails/8203-Alcorn-Cir-Austin-TX-78748/58316069_zpid/,"$406,000",1605506400.0
30.163304,-97.797134,"2,029",https://www.zillow.com/homedetails/9629-Sydney-Marilyn-Ln-Austin-TX-78748/83831439_zpid/,"$397,500",1605506400.0
30.163864,-97.797276,"2,535",https://www.zillow.com/homedetails/9704-Sydney-Marilyn-Ln-Austin-TX-78748/83820994_zpid/,"$447,049",1605506400.0
30.195636,-97.797702,"1,200",https://www.zillow.com/homedetails/7104-Mount-Carrell-Dr-Austin-TX-78745/29497541_zpid/,"$300,000",1605506400.0
30.355959,-97.663027,"1,400",https://www.zillow.com/homedetails/9720-Baden-Ln-Austin-TX-78754/247467575_zpid/,"$305,000",1605506400.0
30.308361,-97.654365,"2,114",https://www.zillow.com/homedetails/7011-Millrace-Dr-Austin-TX-78724/29404566_zpid/,"$390,000",1605506400.0
30.419344,-97.889962,,https://www.zillow.com/homedetails/14006-Panorama-Dr-Austin-TX-78732/125745296_zpid/,"$248,000",1605506400.0
30.444851,-97.762429,"1,970",https://www.zillow.com/homedetails/12710-Margit-Dr-Austin-TX-78729/29547448_zpid/,"$375,000",1605506400.0
30.355959,-97.663027,"1,400",https://www.zillow.com/homedetails/9720-Baden-Ln-Austin-TX-78754/247467575_zpid/,"$305,000",1605506400.0
30.296239,-97.87595,"4,183",https://www.zillow.com/homedetails/2305-Swirling-Wind-Cv-Austin-TX-78735/70336895_zpid/,$1.29M,1605506400.0
30.337798,-97.809871,100,https://www.zillow.com/homedetails/6625-Dogwood-Creek-Dr-Austin-TX-78746/29344855_zpid/,$1.55M,1605506400.0
30.332711,-97.724332,"1,040",https://www.zillow.com/homedetails/1002-Arcadia-Ave-Austin-TX-78757/29413301_zpid/,"$475,000",1605506400.0
30.415599,-97.737618,916,https://www.zillow.com/homedetails/4902-Duval-Rd-APT-R2-Austin-TX-78727/63836867_zpid/,"$216,400",1605247200.0
30.439654,-97.67519,"1,673",https://www.zillow.com/homedetails/1625-Gaylord-Dr-Austin-TX-78728/29447991_zpid/,"$328,650",1605247200.0
30.44115,-97.825899,"2,710",https://www.zillow.com/homedetails/10602-Beckwood-Dr-Austin-TX-78726/29376445_zpid/,"$631,000",1605247200.0
30.27154,-97.807111,"2,206",https://www.zillow.com/homedetails/1307-Darter-Ln-Austin-TX-78746/29326926_zpid/,$1.28M,1605247200.0
30.305395,-97.647467,,https://www.zillow.com/homedetails/6309-Keegans-Dr-Austin-TX-78724/70334194_zpid/,"$499,000",1605247200.0
30.242367,-97.749129,720,https://www.zillow.com/homedetails/308-Leland-St-Austin-TX-78704/145655338_zpid/,"$502,000",1605247200.0
30.379295,-97.898331,"3,334",https://www.zillow.com/homedetails/13110-Halsell-Dr-Austin-TX-78732/29359786_zpid/,"$610,000",1605247200.0
30.37337,-97.655428,"1,792",https://www.zillow.com/homedetails/11311-Gadsen-Ln-Austin-TX-78754/2078862706_zpid/,"$290,232",1605160800.0
30.322475,-97.755364,"2,279",https://www.zillow.com/homedetails/4522-Highland-Ter-Austin-TX-78731/29341708_zpid/,"$910,000",1605160800.0
30.254315,-97.710896,"2,685",https://www.zillow.com/homedetails/2911-E-3rd-St-Austin-TX-78702/29381708_zpid/,"$550,000",1605160800.0
30.377496,-97.653627,"1,636",https://www.zillow.com/homedetails/11716-Larch-Valley-Dr-Austin-TX-78754/63836719_zpid/,"$300,000",1605160800.0
30.37608,-97.656111,"1,636",https://www.zillow.com/homedetails/1608-Bush-Coat-Ln-Austin-TX-78754/64629194_zpid/,"$276,700",1605160800.0
30.40658,-97.64908,"1,423",https://www.zillow.com/homedetails/1105-Faircrest-Dr-Austin-TX-78753/29438765_zpid/,"$245,000",1605160800.0
30.282137,-97.660042,"1,815",https://www.zillow.com/homedetails/4707-Craigwood-Dr-Austin-TX-78725/125739266_zpid/,"$478,750",1605160800.0
30.355201,-97.693762,865,https://www.zillow.com/homedetails/508-Capitol-Dr-Austin-TX-78753/29422819_zpid/,"$167,500",1605160800.0
30.438348,-97.768363,"1,663",https://www.zillow.com/homedetails/7708-San-Felipe-Blvd-APT-9-Austin-TX-78729/64442572_zpid/,"$274,300",1605160800.0
30.417925,-97.761183,"2,795",https://www.zillow.com/homedetails/6221-Harrogate-Dr-Austin-TX-78759/29367554_zpid/,"$726,000",1605160800.0
30.185458,-97.793697,"1,220",https://www.zillow.com/homedetails/7805-Cooper-Ln-104-Austin-TX-78745/241938803_zpid/,"$273,000",1605074400.0
30.133157,-97.773523,"1,964",https://www.zillow.com/homedetails/5705-Lehman-Way-Austin-TX-78747/251032347_zpid/,"$1,950",1605074400.0
30.440234,-97.740624,"1,210",https://www.zillow.com/homedetails/13107-Pollard-Dr-Austin-TX-78727/29447285_zpid/,"$314,900",1605074400.0
30.298161,-97.698056,"1,843",https://www.zillow.com/homedetails/4622-Vaughan-St-Austin-TX-78723/145654744_zpid/,"$590,000",1605074400.0
30.204628,-97.807109,"1,575",https://www.zillow.com/homedetails/6708-Manchaca-Rd-UNIT-2-Austin-TX-78745/89545610_zpid/,"$345,000",1605074400.0
30.333339,-97.723583,"1,705",https://www.zillow.com/homedetails/902-Payne-Ave-Austin-TX-78757/29413332_zpid/,"$578,000",1604988000.0
30.209554,-97.817098,"1,091",https://www.zillow.com/homedetails/6810-Deatonhill-Dr-APT-219-Austin-TX-78745/58314887_zpid/,"$240,000",1604988000.0
30.275868,-97.695323,"2,088",https://www.zillow.com/homedetails/3502-Pennsylvania-Ave-2-Austin-TX-78721/2080375616_zpid/,"$590,000",1604988000.0
30.161397,-97.778562,"1,496",https://www.zillow.com/homedetails/9207-Rowlands-Sayle-Rd-Austin-TX-78744/70343439_zpid/,"$265,000",1604901600.0
30.283856,-97.720996,747,https://www.zillow.com/homedetails/2213-Poquito-St-UNIT-122-Austin-TX-78722/305428333_zpid/,"$289,000",1604901600.0
30.225258,-97.738956,"1,488",https://www.zillow.com/homedetails/2025-Sharper-Mews-Ln-Austin-TX-78741/2077727205_zpid/,"$395,000",1604901600.0
30.25116,-97.771945,"1,914",https://www.zillow.com/homedetails/2010-Goodrich-Ave-2A-Austin-TX-78704/121655148_zpid/,"$871,000",1604901600.0
30.443656,-97.754328,"2,595",https://www.zillow.com/homedetails/12905-Dakota-Ln-Austin-TX-78729/29557437_zpid/,"$569,000",1604901600.0
30.244249,-97.754723,692,https://www.zillow.com/homedetails/300-Crockett-St-APT-314-Austin-TX-78704/79981952_zpid/,"$210,000",1604901600.0
30.357828,-97.64268,"2,149",https://www.zillow.com/homedetails/11017-Furrow-Hill-Dr-Austin-TX-78754/70338610_zpid/,"$277,100",1604901600.0
30.30669,-97.627002,"2,367",https://www.zillow.com/homedetails/7912-Linnie-Lane-Austin-TX-78724/2077209543_zpid/,"$356,000",1604815200.0
30.187611,-97.980139,"2,051",https://www.zillow.com/homedetails/171-Saint-Richie-Ln-Austin-TX-78737/111964502_zpid/,"$422,900",1604642400.0
30.190451,-97.961967,"1,769",https://www.zillow.com/homedetails/10717-Signal-Hill-Rd-Austin-TX-78737/28602870_zpid/,"$545,000",1604642400.0
30.189685,-97.786358,"1,321",https://www.zillow.com/homedetails/303-Tawny-Dr-Austin-TX-78745/29500836_zpid/,"$315,000",1604642400.0
30.357393,-97.796147,706,https://www.zillow.com/homedetails/6000-Shepherd-Mountain-Cv-UNIT-110-Austin-TX-78730/2096118456_zpid/,"$190,000",1604642400.0
30.238881,-97.897072,"1,400",https://www.zillow.com/homedetails/8402-Hanbridge-Ln-Austin-TX-78736/29477883_zpid/,"$375,000",1604642400.0
30.428495,-97.715207,"1,589",https://www.zillow.com/homedetails/12805-War-Path-Austin-TX-78727/29444280_zpid/,"$368,000",1604642400.0
30.372242,-97.899801,"2,808",https://www.zillow.com/homedetails/2923-Lantana-Ridge-Dr-Austin-TX-78732/29357248_zpid/,"$530,000",1604642400.0
30.379716,-97.892543,"2,851",https://www.zillow.com/homedetails/3810-Standfield-Ct-Austin-TX-78732/29361705_zpid/,"$500,000",1604642400.0
30.240847,-97.695786,"1,736",https://www.zillow.com/homedetails/508-Kemp-St-Austin-TX-78741/29461179_zpid/,$1.75M,1604642400.0
30.337096,-97.710187,"2,650",https://www.zillow.com/homedetails/108-W-Odell-St-Austin-TX-78752/29416584_zpid/,"$570,000",1604642400.0
30.339423,-97.722804,"1,470",https://www.zillow.com/homedetails/6906-Reese-Ln-Austin-TX-78757/29415077_zpid/,"$545,000",1604556000.0
